Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,is_date_missing,validate_transaction
TXN_1961373,Coffee,2,2,4,Credit Card,Takeaway,"Friday, September 8, 2023",0,yes
TXN_4977031,Cake,4,3,12,Cash,In-store,"Tuesday, May 16, 2023",0,yes
TXN_4271903,Cookie,4,1,NULL,Credit Card,In-store,"Wednesday, July 19, 2023",0,NULL
TXN_7034554,Salad,2,5,10,NULL,NULL,"Thursday, April 27, 2023",0,yes
TXN_3160411,Coffee,2,2,4,Digital Wallet,In-store,"Sunday, June 11, 2023",0,yes
TXN_2602893,Smoothie,5,4,20,Credit Card,NULL,"Friday, March 31, 2023",0,yes
TXN_4433211,NULL,3,3,9,NULL,Takeaway,"Friday, October 6, 2023",0,yes
TXN_6699534,Sandwich,4,4,16,Cash,NULL,"Saturday, October 28, 2023",0,yes
TXN_4717867,NULL,5,3,15,NULL,Takeaway,"Friday, July 28, 2023",0,yes
TXN_2064365,Sandwich,5,4,20,NULL,In-store,"Sunday, December 31, 2023",0,yes
TXN_2548360,Salad,5,5,25,Cash,Takeaway,"Tuesday, November 7, 2023",0,yes
TXN_3051279,Sandwich,2,4,8,Credit Card,Takeaway,NULL,1,yes
TXN_7619095,Sandwich,2,4,8,Cash,In-store,"Wednesday, May 3, 2023",0,yes
TXN_9437049,Cookie,5,1,5,NULL,Takeaway,"Thursday, June 1, 2023",0,yes
TXN_8915701,NULL,2,1.5,3,NULL,In-store,"Tuesday, March 21, 2023",0,yes
TXN_2847255,Salad,3,5,15,Credit Card,In-store,"Wednesday, November 15, 2023",0,yes
TXN_3765707,Sandwich,1,4,4,NULL,NULL,"Saturday, June 10, 2023",0,yes
TXN_6769710,Juice,2,3,6,Cash,In-store,"Friday, February 24, 2023",0,yes
TXN_8876618,Cake,5,3,15,Cash,NULL,"Saturday, March 25, 2023",0,yes
TXN_3709394,Juice,4,3,12,Cash,Takeaway,"Sunday, January 15, 2023",0,yes
TXN_3567645,Smoothie,4,4,16,Credit Card,Takeaway,"Thursday, March 30, 2023",0,yes
TXN_5132361,Sandwich,3,4,12,Digital Wallet,Takeaway,"Friday, December 1, 2023",0,yes
TXN_2616390,Sandwich,2,4,8,NULL,NULL,"Monday, September 18, 2023",0,yes
TXN_9400181,Sandwich,5,4,20,Cash,In-store,"Saturday, June 3, 2023",0,yes
TXN_7958992,Smoothie,3,4,NULL,NULL,NULL,"Wednesday, December 13, 2023",0,NULL
TXN_5183041,Cookie,5,1,5,Credit Card,In-store,"Thursday, April 20, 2023",0,yes
TXN_5695074,Juice,4,3,12,Credit Card,Takeaway,"Monday, April 10, 2023",0,yes
TXN_8467949,Smoothie,5,4,20,Credit Card,NULL,"Saturday, March 11, 2023",0,yes
TXN_7640952,Cake,4,3,12,Digital Wallet,Takeaway,NULL,1,yes
TXN_1736287,NULL,5,2,10,Digital Wallet,NULL,"Friday, June 2, 2023",0,yes
TXN_8927252,NULL,2,1,NULL,Credit Card,NULL,"Monday, November 6, 2023",0,NULL
TXN_9677376,Smoothie,4,4,16,NULL,In-store,"Tuesday, August 15, 2023",0,yes
TXN_7710508,NULL,5,1,5,Cash,NULL,NULL,1,yes
TXN_8853997,Smoothie,2,4,8,Digital Wallet,Takeaway,"Monday, October 9, 2023",0,yes
TXN_9130559,Sandwich,1,4,4,Credit Card,NULL,"Sunday, May 28, 2023",0,yes
TXN_6855453,NULL,4,3,12,NULL,In-store,"Monday, July 17, 2023",0,yes
TXN_1080432,Salad,2,5,10,Credit Card,In-store,"Saturday, April 29, 2023",0,yes
TXN_2655815,Smoothie,4,4,16,NULL,Takeaway,"Thursday, June 8, 2023",0,yes
TXN_6688524,Coffee,4,2,8,NULL,NULL,"Thursday, June 29, 2023",0,yes
TXN_2083138,Smoothie,3,4,12,NULL,In-store,"Monday, April 17, 2023",0,yes
